State,state_code,deaths,Pop,Age_grp,Year_grp,age,year,cohort,censor
South Dakota,46,11,261945,50-54,2002-2006,52,2004,1952,0
Tennessee,47,205,2039190,50-54,2002-2006,52,2004,1952,0
Texas,48,531,6925445,50-54,2002-2006,52,2004,1952,0
Utah,49,150,637139,50-54,2002-2006,52,2004,1952,0
Vermont,50,29,243998,50-54,2002-2006,52,2004,1952,0
Virginia,51,192,2591377,50-54,2002-2006,52,2004,1952,0
Washington,53,414,2217922,50-54,2002-2006,52,2004,1952,0
West Virginia,54,97,696324,50-54,2002-2006,52,2004,1952,0
Wisconsin,55,127,1925457,50-54,2002-2006,52,2004,1952,0
Wyoming,56,10,196844,50-54,2002-2006,52,2004,1952,-1
Alabama,1,21,1359403,55-59,2002-2006,57,2004,1947,0
Alaska,2,10,186344,55-59,2002-2006,57,2004,1947,-1
Arizona,4,140,1548666,55-59,2002-2006,57,2004,1947,0
Arkansas,5,25,819098,55-59,2002-2006,57,2004,1947,0
California,6,711,9284888,55-59,2002-2006,57,2004,1947,0
Colorado,8,82,1300914,55-59,2002-2006,57,2004,1947,0
Connecticut,9,24,1063137,55-59,2002-2006,57,2004,1947,0
Delaware,10,10,246660,55-59,2002-2006,57,2004,1947,-1
District of Columbia,11,23,161088,55-59,2002-2006,57,2004,1947,0
